                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75014,                0.41768,                0.89394,                0.57595,                0.78035,                0.59957,                0.43163,                0.82952,                0.59489,                0.95748,               0.006535,               0.006535,               0.006535
                     37,                0.75014,                0.42115,                0.89373,                 0.6332,                0.79449,                0.67711,                0.49571,                0.81855,                0.51221,                0.95118,               0.006436,               0.006436,               0.006436
                     38,                0.74562,                0.41999,                0.89056,                0.56951,                0.85776,                0.60671,                0.43603,                0.82376,                0.50953,                0.94869,               0.006337,               0.006337,               0.006337
                     39,                0.74151,                0.41377,                0.88511,                 0.5865,                0.84765,                0.61768,                0.45041,                0.81244,                0.53199,                0.93427,               0.006238,               0.006238,               0.006238
                     40,                0.72763,                0.40877,                0.88507,                0.59057,                0.86225,                 0.6136,                0.45165,                0.79064,                0.54876,                0.92872,               0.006139,               0.006139,               0.006139
                     41,                0.72233,                0.41859,                 0.8835,                0.60019,                0.85459,                0.64148,                 0.4706,                0.78398,                 0.5081,                0.92954,                0.00604,                0.00604,                0.00604
                     42,                0.70808,                0.39352,                0.88211,                0.56072,                0.77585,                0.58775,                0.42687,                0.81306,                0.59465,                0.94233,               0.005941,               0.005941,               0.005941
                     43,                0.72361,                0.39038,                0.88404,                 0.6138,                 0.8334,                0.64672,                0.47331,                0.77412,                 0.5314,                0.93693,               0.005842,               0.005842,               0.005842
                     44,                0.68953,                0.38465,                0.87438,                0.56162,                0.79734,                0.61381,                0.45206,                0.78111,                0.55256,                0.92627,               0.005743,               0.005743,               0.005743
                     45,                0.70028,                0.38591,                0.88585,                0.52746,                0.75091,                0.56436,                0.41627,                0.77886,                0.62326,                0.92254,               0.005644,               0.005644,               0.005644
                     46,                0.68759,                0.38396,                0.87992,                0.63852,                0.83973,                0.71082,                0.52702,                 0.7917,                0.47952,                0.92598,               0.005545,               0.005545,               0.005545
                     47,                0.68323,                0.38305,                0.88059,                0.67493,                0.76909,                0.75283,                0.55831,                0.76215,                0.43988,                0.92546,               0.005446,               0.005446,               0.005446
                     48,                0.68183,                0.38181,                  0.873,                0.53269,                0.76837,                0.56733,                 0.4245,                0.76029,                 0.6107,                0.92395,               0.005347,               0.005347,               0.005347
                     49,                0.66436,                0.36576,                0.86593,                0.57012,                0.77829,                0.60149,                0.45226,                0.76177,                0.54877,                0.92298,               0.005248,               0.005248,               0.005248
                     50,                0.65278,                0.36681,                0.86445,                0.60464,                0.80898,                0.61869,                0.45577,                0.77746,                0.54382,                0.93004,               0.005149,               0.005149,               0.005149
                     51,                0.66099,                0.36084,                0.86246,                0.51473,                0.71816,                0.53887,                0.40601,                0.75149,                0.68983,                0.92133,                0.00505,                0.00505,                0.00505
                     52,                0.65315,                0.35516,                0.86342,                0.52504,                0.69288,                0.54375,                0.40718,                0.75556,                0.68042,                 0.9496,               0.004951,               0.004951,               0.004951
                     53,                0.64857,                0.35257,                0.86359,                0.71543,                0.74534,                0.75756,                0.56879,                0.78527,                0.44204,                0.95661,               0.004852,               0.004852,               0.004852
                     54,                0.63772,                0.34404,                0.86022,                0.61554,                0.78556,                0.63532,                0.47657,                0.75064,                0.54303,                0.94627,               0.004753,               0.004753,               0.004753
                     55,                0.62909,                0.34192,                0.85812,                0.60874,                0.80139,                0.66219,                0.49663,                0.73889,                0.57632,                0.94283,               0.004654,               0.004654,               0.004654
                     56,                0.61423,                0.33613,                0.85719,                0.55958,                0.73493,                0.55639,                0.42023,                0.74157,                0.68982,                0.93192,               0.004555,               0.004555,               0.004555
                     57,                0.62188,                 0.3413,                0.85742,                0.59143,                0.80144,                0.64568,                0.48587,                0.73536,                0.57786,                0.92869,               0.004456,               0.004456,               0.004456
                     58,                0.61538,                0.33602,                0.85861,                0.59823,                0.81948,                0.65503,                0.49104,                0.73722,                0.54913,                  0.923,               0.004357,               0.004357,               0.004357
                     59,                0.60793,                 0.3295,                0.85569,                0.52727,                0.62107,                0.53805,                0.40974,                0.72009,                0.73814,                0.89313,               0.004258,               0.004258,               0.004258
                     60,                0.60777,                 0.3327,                0.84985,                0.57025,                0.76909,                 0.6099,                0.46297,                0.73085,                0.56503,                0.90518,               0.004159,               0.004159,               0.004159
                     61,                 0.5923,                0.31933,                0.85135,                0.58663,                0.80962,                0.66156,                0.50354,                 0.7221,                0.53664,                0.91182,                0.00406,                0.00406,                0.00406
                     62,                0.58136,                0.30912,                0.85062,                0.62856,                0.76465,                0.68691,                0.52479,                0.72727,                0.52428,                0.91561,               0.003961,               0.003961,               0.003961
