                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.719,                 1.4957,                 1.3057,                0.78736,                0.67322,                0.74459,                0.34338,                 1.7604,                 1.1571,                  1.347,               0.003466,               0.003466,               0.003466
                     35,                 1.7042,                 1.4647,                  1.292,                0.76976,                0.68634,                 0.7527,                0.34323,                 1.7593,                 1.1787,                 1.3501,               0.003268,               0.003268,               0.003268
                     36,                 1.6994,                 1.4748,                 1.3036,                  0.778,                0.66751,                0.73313,                0.33992,                 1.7622,                 1.1961,                 1.3393,                0.00307,                0.00307,                0.00307
                     37,                 1.6955,                 1.4826,                 1.2923,                0.78386,                0.67633,                0.74285,                0.33946,                 1.7689,                 1.1619,                 1.3597,               0.002872,               0.002872,               0.002872
                     38,                 1.6823,                 1.4554,                 1.2866,                 0.7618,                  0.696,                0.74123,                0.34251,                 1.7487,                 1.1795,                 1.3473,               0.002674,               0.002674,               0.002674
                     39,                 1.6651,                 1.4167,                 1.2727,                0.77601,                0.68668,                0.75834,                0.35688,                 1.7562,                 1.1497,                 1.3405,               0.002476,               0.002476,               0.002476
                     40,                 1.6603,                 1.4107,                 1.3189,                0.77357,                0.66843,                0.73018,                0.33704,                 1.7648,                 1.1954,                 1.3585,               0.002278,               0.002278,               0.002278
                     41,                 1.6297,                 1.3554,                 1.2967,                0.76871,                 0.6715,                0.72345,                0.32896,                 1.7854,                 1.1993,                 1.3617,                0.00208,                0.00208,                0.00208
                     42,                 1.6004,                 1.3343,                 1.2838,                 0.7772,                0.66667,                 0.7402,                0.34511,                 1.7693,                 1.1576,                 1.3739,               0.001882,               0.001882,               0.001882
                     43,                 1.5867,                 1.3269,                  1.279,                0.76066,                0.67357,                0.72436,                0.33371,                 1.7753,                 1.1994,                 1.3502,               0.001684,               0.001684,               0.001684
                     44,                 1.5702,                 1.3052,                 1.2682,                0.77067,                 0.6888,                 0.7443,                0.34731,                 1.7634,                 1.1395,                  1.355,               0.001486,               0.001486,               0.001486
                     45,                 1.5538,                 1.2822,                 1.2603,                0.77123,                0.68867,                0.74077,                0.34936,                 1.7706,                 1.1513,                  1.361,               0.001288,               0.001288,               0.001288
                     46,                  1.539,                 1.2631,                 1.2575,                0.76441,                0.68634,                0.73648,                0.34162,                 1.7705,                 1.1629,                 1.3687,                0.00109,                0.00109,                0.00109
                     47,                 1.5244,                 1.2448,                 1.2426,                0.75699,                0.69224,                0.73202,                0.34025,                 1.7686,                 1.1498,                 1.3588,               0.000892,               0.000892,               0.000892
                     48,                 1.5138,                 1.2463,                 1.2463,                0.77641,                0.68288,                0.73394,                0.33996,                 1.7776,                 1.1934,                 1.3644,               0.000694,               0.000694,               0.000694
                     49,                 1.5072,                 1.2212,                 1.2402,                0.76908,                0.68036,                0.73437,                0.33882,                 1.7805,                 1.1653,                 1.3659,               0.000496,               0.000496,               0.000496
